query,KNN-c,KNN-s,FAISS-c,FAISS-s,IVFFLAT-c,IVFFLAT-s,HNSW-c,HNSW-s,TFIDF,BM25
q11,1,0,1,0,1,0,1,0,0,1
q12,1,0,1,0,1,0,1,0,0,1
q13,1,0,1,0,1,0,1,0,0,0
q14,1,1,1,1,1,1,1,1,1,1
q15,0,0,0,0,0,0,0,0,0,1
